STU_ID,INCODE,INSTNUM,TYPETUIT,NUMATND,ENRLSTAT,MAJCODE,MAJVERB,MAJSRCH,HRSWEKLY,TYPDEGCT,DATRCVMO,DATRCVYR,JOBCHNG,GRANTS,LOANS,WORKSTDY,OTH_FINA,NO_FINA,AMT_FINA,CAMPJOB,EDRELJOB,PARNBORW,F3PSEAT,F3PSEEN,F3PSECT,F3SEC2A,STRTMON1,STRTYR1,ENDMON1,ENDYR1,STRTMON2,STRTYR2,ENDMON2,ENDYR2,STRTMON3,STRTYR3,ENDMON3,ENDYR3,STRTMON4,STRTYR4,ENDMON4,ENDYR4
2512234,310,1,1,1,1,171,RESPIRTORY THERAPY,@RESPIRTORY THERAPY,-9,3,0,0,-9,1,2,2,2,2,3000,1,1,2,18,18,1,4,7,92,12,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2512234,1939,2,1,1,3,112,COMPUTERS,COMPUTER,4,3,0,0,-9,1,2,2,2,2,500,1,1,2,5,5,1,4,8,93,12,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4553178,2545,1,-9,1,1,201,CHEF  CULINARY ARTS,CHEMICAL CULINARY ART,35,2,0,0,-9,1,1,2,2,2,4000,2,2,1,8,8,1,1,1,94,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7200431,1587,1,-9,1,1,230,ENGLISH,ENGLISH,-9,4,0,0,-9,1,1,1,2,2,5500,1,2,2,4,4,1,5,9,92,12,92,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4549701,994,1,1,1,2,170,MEDICAL ASST,MEDICAL ASSIST,5,1,0,0,-9,2,2,2,2,1,-9,2,2,2,5,5,1,4,9,92,1,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4549701,2048,2,1,1,2,170,MED ASST,MED ASSIST,4,1,0,0,-9,2,2,2,2,1,-9,2,2,2,4,4,1,4,9,93,12,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4518288,800,1,1,1,1,480,COMMERCIAL ARTS,COMMERCIAL ART,-9,5,0,0,-9,1,2,2,2,2,716,1,1,2,22,22,1,4,9,92,6,94,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7223706,-4,1,-9,1,1,460,CARPENTRY,CARPENTRY,-9,2,11,93,2,2,2,2,2,1,-9,2,2,2,7,7,1,-6,5,93,11,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4545226,1171,1,1,1,2,185,NURSING,NURSING,-9,-8,0,0,-9,2,2,2,2,1,-9,2,2,2,26,26,1,4,7,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
782204,1445,1,1,1,3,900,NONE,NONE,4,1,0,0,-9,1,2,2,2,2,1200,2,2,2,15,15,1,4,9,92,11,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7247227,184,1,-9,1,1,188,REGISTERED NURSE,*@REGISTERED NURSE,-9,4,0,0,-9,2,1,2,2,2,0,2,2,1,24,24,1,5,9,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
778624,2165,1,1,1,2,62,SMALL BUSINESS MANGEMENT,@SMALL BUSINESS MANAGEMENT,10,3,0,0,-9,2,2,2,2,1,-9,2,2,2,32,32,1,4,6,91,1,94,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4539464,110,1,1,1,1,112,COMPUTER SCIENCE,COMPUTER SCIENCE,-9,3,0,0,-9,2,2,2,2,1,-9,2,2,2,23,23,1,4,10,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4522785,2044,1,1,1,2,220,PARA-LEGAL,PARALEGAL LEGAL,-9,3,0,0,-9,1,2,2,2,2,500,1,2,2,24,24,1,4,9,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4531839,648,1,1,1,1,430,LAW ENFORCEMENT CRIMINAL JUSTICE,LAW ENFORCEMENT CRIMINAL JUSTICE,-9,3,0,0,-9,2,2,2,2,1,-9,2,2,2,20,20,1,4,1,93,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2553657,2047,1,1,1,1,173,NURSING,NURSING,12,3,0,0,-9,1,2,2,2,2,1150,2,2,2,9,9,1,4,9,93,5,94,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2553657,882,2,-9,1,1,170,MEDICAL ASSISTANT,MEDICAL ASSIST,25,2,0,0,-9,1,1,2,2,2,2100,2,2,-3,3,3,1,1,6,94,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4522742,-10,1,1,1,3,480,CARPENTRY AND GRAPHIC ARTS,CHEMOTHERAPY GRAPHIC ART,-9,2,11,89,1,2,2,2,2,1,-9,2,2,2,-6,-6,1,-6,6,88,9,-8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2418487,-10,1,-9,1,3,472,HEAT AND AIR CONDITIONING SERVICE,@HEAT AIR @CONDITIONING SERVICE,3,5,0,0,-9,2,2,2,2,1,-9,2,1,2,7,7,1,-6,2,94,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7864989,55,1,1,1,1,460,PLUMBING,*PSYCHOBIOLOGY,25,5,3,93,-9,2,2,2,2,1,-9,2,1,2,8,8,1,4,8,92,3,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
746505,-10,1,1,1,3,481,FURNITURE MANUFACTURING,*@FURNITURE @MANUFACTURING,10,1,0,0,-9,2,2,2,2,1,-9,2,1,2,9,9,1,-6,9,93,5,94,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4522409,621,1,-9,1,1,63,BUSINESS MARKETING,BUSINESS MARKETING,-9,4,0,0,-9,1,1,1,2,2,20000,1,1,1,25,25,1,5,8,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4522717,276,1,-9,1,1,220,PARA LEGAL,PARALEGAL LEGAL,20,3,3,94,1,1,1,2,2,2,5000,2,2,1,19,19,1,1,7,92,1,94,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2513079,929,1,1,1,1,110,COMPUTER/ FAST FOODS,*COMPUTER FASHION FOOD,-9,1,0,0,-9,2,2,2,2,1,-9,2,2,2,24,24,1,4,6,90,5,92,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7277609,1397,1,1,1,1,61,FINANCIAL SERVICES AND BANKING,FINANCE SERVICE BANK,-9,3,0,0,-9,1,1,2,1,2,8800,2,2,2,25,25,1,6,8,92,-2,-2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
